,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Name,Lat,Lon
0,01:15,YUL,MEX,07:25,4413,AMX,45.46561,-73.745299
1,06:01,DEN,MEX,15:12,6467,AMX,39.856121,-104.673641
2,06:01,JFK,MEX,14:30,16312,AMX,40.641235,-73.778263
3,06:01,LAS,MEX,14:14,10869,AMX,36.084026,-115.153889
4,06:01,LAX,MEX,10:15,6439,AMX,33.941562,-118.408412
5,06:01,MCO,MEX,15:26,19549,AMX,28.431205,-81.308008
6,06:01,MIA,MEX,17:03,28847,AMX,25.795814,-80.287169
7,06:01,ORD,MEX,15:45,9532,AMX,41.974166,-87.9073
8,06:01,SFO,MEX,10:50,9421,AMX,37.621313,-122.378988
9,06:30,CUN,MEX,10:05,7990,AMX,21.040358,-86.873455
10,06:30,DEN,MEX,15:12,6467,AMX,39.856121,-104.673641
11,06:30,JFK,MEX,14:30,16312,AMX,40.641235,-73.778263
12,06:30,LAS,MEX,12:25,9318,AMX,36.084026,-115.153889
13,06:30,LAX,MEX,11:10,6439,AMX,33.941562,-118.408412
14,06:30,ORD,MEX,16:18,17760,AMX,41.974166,-87.9073
15,06:30,SFO,MEX,16:05,9532,AMX,37.621313,-122.378988
16,07:00,DEN,MEX,14:27,6467,AMX,39.856121,-104.673641
17,07:00,JFK,MEX,14:30,16312,AMX,40.641235,-73.778263
18,07:00,LAS,MEX,12:25,9318,AMX,36.084026,-115.153889
19,07:00,LAX,MEX,11:10,6438,AMX,33.941562,-118.408412
20,07:00,MCO,MEX,15:26,11034,AMX,28.431205,-81.308008
21,07:00,MIA,MEX,16:01,11034,AMX,25.795814,-80.287169
22,07:00,ORD,MEX,14:25,9532,AMX,41.974166,-87.9073
23,07:00,SFO,MEX,16:05,9532,AMX,37.621313,-122.378988
24,07:10,MIA,MEX,11:30,10923,AMX,25.795814,-80.287169
25,07:15,JFK,MEX,13:00,9318,AMX,40.641235,-73.778263
26,07:20,DEN,MEX,17:38,7372,AMX,39.856121,-104.673641
27,07:20,LAS,MEX,14:14,10869,AMX,36.084026,-115.153889
28,07:20,LAX,MEX,09:25,6438,AMX,33.941562,-118.408412
29,07:20,SFO,MEX,14:27,9532,AMX,37.621313,-122.378988
30,07:30,CUN,MEX,10:56,5577,AMX,21.040358,-86.873455
31,07:30,JFK,MEX,18:17,28551,AMX,40.641235,-73.778263
32,07:30,LAX,MEX,22:40,33291,AMX,33.941562,-118.408412
33,08:00,CUN,MEX,11:34,4823,AMX,21.040358,-86.873455
34,08:00,JFK,MEX,18:17,28551,AMX,40.641235,-73.778263
35,08:00,LAS,MEX,12:25,12815,AMX,36.084026,-115.153889
36,08:00,LAX,MEX,16:05,24190,AMX,33.941562,-118.408412
37,08:00,MCO,MEX,20:01,34627,AMX,28.431205,-81.308008
38,08:40,JFK,MEX,21:45,8607,AMX,40.641235,-73.778263
39,09:00,LAS,MEX,11:28,9318,AMX,36.084026,-115.153889
40,09:00,LAX,MEX,16:05,13296,AMX,33.941562,-118.408412
41,09:00,ORD,MEX,13:25,9421,AMX,41.974166,-87.9073
42,09:00,SFO,MEX,12:11,9421,AMX,37.621313,-122.378988
43,09:05,DEN,MEX,19:14,16732,AMX,39.856121,-104.673641
44,09:05,JFK,MEX,17:35,27736,AMX,40.641235,-73.778263
45,09:05,MCO,MEX,17:28,19549,AMX,28.431205,-81.308008
46,09:05,MIA,MEX,17:03,25762,AMX,25.795814,-80.287169
47,09:05,ORD,MEX,17:06,14160,AMX,41.974166,-87.9073
48,09:05,SFO,MEX,19:30,10561,AMX,37.621313,-122.378988
49,09:15,MCO,MEX,13:30,9689,AMX,28.431205,-81.308008
50,09:20,JFK,MEX,15:20,16312,AMX,40.641235,-73.778263
51,09:25,CUN,MEX,13:04,7990,AMX,21.040358,-86.873455
52,09:25,JFK,MEX,18:17,28551,AMX,40.641235,-73.778263
53,09:25,LAX,MEX,18:12,33180,AMX,33.941562,-118.408412
54,09:25,ORD,MEX,21:47,29362,AMX,41.974166,-87.9073
